census region,air conditioning type,housing types,technology,final_energy,vintage,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
66,63,28,44,2.0,2003,0.0,0.0,0.0,0.00212603209366,0.00212102124284,0.00211744417176,0.00211198259181,0.00210209014666,0.00208709414928,0.00206243521945,0.0020263623921,0.00197444879311,0.00189958500388,0.00179608285085,0.00165961169308,0.0014881591933,0.00128629456081
66,63,28,44,2.0,2004,0.0,0.0,0.0,0.0,0.00207676659333,0.00207344676392,0.0020689646302,0.00206158867314,0.00205158969952,0.00203551751637,0.00201268218825,0.00197962193945,0.00192979549985,0.0018572926611,0.00175637545652,0.00162205129764,0.00145452115899
66,63,28,44,2.0,2005,0.0,0.0,0.0,0.0,0.0,0.00205138511251,0.00204713095833,0.00204068696632,0.00203307234083,0.00202178491771,0.00200715711839,0.00198679008501,0.00195505649595,0.00190653393011,0.00183519820287,0.00173455109504,0.0016019423233
66,63,28,44,2.0,2006,0.0,0.0,0.0,0.0,0.0,0.0,0.00206182381932,0.00205551460448,0.0020487021328,0.00203961825722,0.00202951887511,0.00201701796835,0.00199747178694,0.00196627463831,0.00191778001081,0.00184503381182,0.00174389769902
66,63,28,44,2.0,2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00208589607778,0.00207916602512,0.0020708138102,0.00206287639968,0.00205488568193,0.00204317050818,0.00202409873672,0.00199280406639,0.00194261311299,0.00186897895335
66,63,28,44,2.0,2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00208614078165,0.00207794355133,0.00207084556239,0.00206514296024,0.00205809232324,0.00204709498183,0.00202831059632,0.00199588020831,0.00194566801665
66,63,28,44,2.0,2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00210182717151,0.00209483208944,0.00208993817526,0.0020851443292,0.00207877291009,0.00206799542084,0.00204792073774,0.0020152350543
66,63,28,44,2.0,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00208138792117,0.00207670830914,0.00207281238243,0.00206880173841,0.00206280978587,0.00205101488573,0.00203116374694
66,63,28,44,2.0,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00205036921396,0.00204670295122,0.00204359817128,0.00203996993439,0.00203297099494,0.0020214051363
66,63,28,44,2.0,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020400880775,0.00203717274434,0.00203440741392,0.0020297067518,0.00202280149155
66,63,28,44,2.0,2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020349377062,0.00203235439759,0.0020285075084,0.00202387897684
66,63,28,44,2.0,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00203710952247,0.00203343271552,0.00202964245021
66,63,28,44,2.0,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00205927401415,0.00205561661791
66,63,28,44,2.0,2016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00206455382736
66,63,28,45,2.0,1999,0.0111883589911,0.0103094548015,0.00944396472512,0.00859478322189,0.00777101317151,0.00696832154962,0.00618292467845,0.00541960201458,0.00469128222205,0.00400304437452,0.00336715217784,0.0027894645949,0.00227129743158,0.00181482252752,0.00142052543193,0.00108675361527,0.00081175086708
66,63,28,45,2.0,2000,0.000828767340584,0.000824559931133,0.000819558221899,0.000812709550512,0.000803548400812,0.000790301256109,0.000770974703566,0.000744428253671,0.000710855972655,0.000669823312293,0.000622586131775,0.000570131016489,0.000513190796194,0.000453238506778,0.00039200067836,0.00033121372391,0.000273077067781
66,63,28,45,2.0,2001,0.0,0.000883111499792,0.000878983046462,0.000874171940307,0.000868180192459,0.000859046255302,0.000844482018699,0.000823016326816,0.000794545290861,0.000758177787958,0.000714844832642,0.000665152489572,0.000609391959274,0.000548727980341,0.000484701574346,0.000418987970369,0.000354026370022
