Constraint Name,Child Column,Parent Column,Delete Rule
DemandFuelSwitchingMeasuresCostData_oth_2_id_fkey,DemandFuelSwitchingMeasuresCostData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandFuelSwitchingMeasuresCostData_parent_id_fkey,DemandFuelSwitchingMeasuresCostData.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasuresEnergyI_extrapolation_method_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyI_interpolation_method_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensit_other_index_1_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensit_other_index_2_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensity_geography_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.geography_id,Geographies.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensity_parent_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensity.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasuresEnergyIntensityData_gau_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensityData.gau_id,GeographiesData.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensityData_oth_1_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensityData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensityData_oth_2_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensityData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandFuelSwitchingMeasuresEnergyIntensityData_parent_id_fkey,DemandFuelSwitchingMeasuresEnergyIntensityData.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasuresImpact_extrapolation_method_id_fkey,DemandFuelSwitchingMeasuresImpact.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_geography_id_fkey,DemandFuelSwitchingMeasuresImpact.geography_id,Geographies.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_input_type_id_fkey,DemandFuelSwitchingMeasuresImpact.input_type_id,InputTypes.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_interpolation_method_id_fkey,DemandFuelSwitchingMeasuresImpact.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_other_index_1_id_fkey,DemandFuelSwitchingMeasuresImpact.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_other_index_2_id_fkey,DemandFuelSwitchingMeasuresImpact.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandFuelSwitchingMeasuresImpact_parent_id_fkey,DemandFuelSwitchingMeasuresImpact.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandFuelSwitchingMeasuresImpactData_gau_id_fkey,DemandFuelSwitchingMeasuresImpactData.gau_id,GeographiesData.id,Restrict delete 
DemandFuelSwitchingMeasuresImpactData_oth_1_id_fkey,DemandFuelSwitchingMeasuresImpactData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandFuelSwitchingMeasuresImpactData_oth_2_id_fkey,DemandFuelSwitchingMeasuresImpactData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandFuelSwitchingMeasuresImpactData_parent_id_fkey,DemandFuelSwitchingMeasuresImpactData.parent_id,DemandFuelSwitchingMeasures.id,Cascade on delete 
DemandSales_extrapolation_method_id_fkey,DemandSales.extrapolation_method_id,CleaningMethods.id,Restrict delete 
DemandSales_geography_id_fkey,DemandSales.geography_id,Geographies.id,Restrict delete 
DemandSales_input_type_id_fkey,DemandSales.input_type_id,InputTypes.id,Restrict delete 
DemandSales_interpolation_method_id_fkey,DemandSales.interpolation_method_id,CleaningMethods.id,Restrict delete 
DemandSales_other_index_1_id_fkey,DemandSales.other_index_1_id,OtherIndexes.id,Restrict delete 
DemandSales_other_index_2_id_fkey,DemandSales.other_index_2_id,OtherIndexes.id,Restrict delete 
DemandSales_subsector_id_fkey,DemandSales.subsector_id,DemandSubsectors.id,Restrict delete 
DemandSalesData_demand_technology_id_fkey,DemandSalesData.demand_technology_id,DemandTechs.id,Restrict delete 
DemandSalesData_gau_id_fkey,DemandSalesData.gau_id,GeographiesData.id,Restrict delete 
DemandSalesData_oth_1_id_fkey,DemandSalesData.oth_1_id,OtherIndexesData.id,Restrict delete 
DemandSalesData_oth_2_id_fkey,DemandSalesData.oth_2_id,OtherIndexesData.id,Restrict delete 
DemandSalesData_subsector_id_fkey,DemandSalesData.subsector_id,DemandSales.subsector_id,Restrict delete 
DemandSalesMeasurePackages_subsector_id_fkey,DemandSalesMeasurePackages.subsector_id,DemandSubsectors.id,Restrict delete 
DemandSalesMeasurePackagesData_measure_id_fkey,DemandSalesMeasurePackagesData.measure_id,DemandSalesMeasures.id,Restrict delete 
DemandSalesMeasurePackagesData_package_id_fkey,DemandSalesMeasurePackagesData.package_id,DemandSalesMeasurePackages.id,Cascade on delete 
DemandSalesMeasures_demand_technology_id_fkey,DemandSalesMeasures.demand_technology_id,DemandTechs.id,Restrict delete 
DemandSalesMeasures_extrapolation_method_id_fkey,DemandSalesMeasures.extrapolation_method_id,CleaningMethods.id,Restrict delete 
