timepoint,technology,region,power,charging,state_of_charge,goal_state_of_charge_start,goal_state_of_charge_end
17,"(91, 62L, 3L, 64L, 1983L)",3,255281,,,,
18,"(3, 33, 0, 46)",3,0,11376.9,86033.5,20371.8,8994.9
18,"(3, 33, 0, 47)",3,0,4663.36,4043.64,,
18,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
18,"(1, 33, 0, 66)",1,0,0,0,,
18,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
18,"(1, 33, 0, 47)",1,0,0,0,,
18,"(2, 33, 0, 47)",2,0,0,0,,
18,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
18,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
18,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
18,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
18,"(91, 62L, 2L, 64L, 1983L)",2,96321.1,,,,
18,"(91, 62L, 3L, 64L, 1983L)",3,230735,,,,
19,"(3, 33, 0, 46)",3,0,11376.9,95898.6,20371.8,8994.9
19,"(3, 33, 0, 47)",3,0,4663.36,8087.29,,
19,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
19,"(1, 33, 0, 66)",1,0,0,0,,
19,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
19,"(1, 33, 0, 47)",1,0,0,0,,
19,"(2, 33, 0, 47)",2,0,0,0,,
19,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
19,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
19,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
19,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
19,"(91, 62L, 2L, 64L, 1983L)",2,116396,,,,
19,"(91, 62L, 3L, 64L, 1983L)",3,239873,,,,
20,"(3, 33, 0, 46)",3,0,11064.2,105764,20371.8,8994.9
20,"(3, 33, 0, 47)",3,1192.14,0,12130.9,,
20,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
20,"(1, 33, 0, 66)",1,0,0,0,,
20,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
20,"(1, 33, 0, 47)",1,0,0,0,,
20,"(2, 33, 0, 47)",2,0,0,0,,
20,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
20,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
20,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
20,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
20,"(91, 62L, 2L, 64L, 1983L)",2,110057,,,,
20,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
21,"(3, 33, 0, 46)",3,11376.9,0,115357,20371.8,8994.9
21,"(3, 33, 0, 47)",3,4663.36,0,10756.1,,
21,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
21,"(1, 33, 0, 66)",1,0,0,0,,
21,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
21,"(1, 33, 0, 47)",1,0,0,0,,
21,"(2, 33, 0, 47)",2,0,0,0,,
21,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
21,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
21,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
21,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
21,"(91, 62L, 2L, 64L, 1983L)",2,101179,,,,
21,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
22,"(3, 33, 0, 46)",3,11376.9,0,102237,20371.8,8994.9
22,"(3, 33, 0, 47)",3,4663.36,0,5378.05,,
22,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
22,"(1, 33, 0, 66)",1,0,0,0,,
22,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
22,"(1, 33, 0, 47)",1,0,0,0,,
22,"(2, 33, 0, 47)",2,0,0,0,,
22,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
22,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
22,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
22,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
22,"(91, 62L, 2L, 64L, 1983L)",2,86458.2,,,,
22,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
23,"(3, 33, 0, 46)",3,0,4668.91,89116.5,20371.8,8994.9
23,"(3, 33, 0, 47)",3,0,0,0,,
23,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
23,"(1, 33, 0, 66)",1,0,0,0,,
23,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
23,"(1, 33, 0, 47)",1,0,0,0,,
23,"(2, 33, 0, 47)",2,0,0,0,,
23,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
23,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
23,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
23,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
