census region,air conditioning type,housing types,technology,year,value
66,64,30,10,2006,0.0
66,64,30,10,2007,0.0
66,64,30,10,2008,0.0
66,64,30,10,2009,0.0
66,64,30,10,2010,0.0
66,64,30,10,2011,0.0
66,64,30,10,2012,0.0
66,64,30,10,2013,0.0
66,64,30,10,2014,0.0
66,64,30,10,2015,0.0
66,64,30,10,2016,0.0
66,64,30,71,2000,0.0
66,64,30,71,2001,0.0
66,64,30,71,2002,0.0
66,64,30,71,2003,0.0
66,64,30,71,2004,0.0
66,64,30,71,2005,0.0
66,64,30,71,2006,0.0
66,64,30,71,2007,0.0
66,64,30,71,2008,0.0
66,64,30,71,2009,0.0
66,64,30,71,2010,0.0
66,64,30,71,2011,0.0
66,64,30,71,2012,0.0
66,64,30,71,2013,0.0
66,64,30,71,2014,0.0
66,64,30,71,2015,0.0
66,64,30,71,2016,0.0
67,63,28,4,2000,298797.050195
67,63,28,4,2001,300252.079972
67,63,28,4,2002,301498.326308
67,63,28,4,2003,302749.686621
67,63,28,4,2004,303861.580962
67,63,28,4,2005,304889.672305
67,63,28,4,2006,306094.395542
67,63,28,4,2007,307327.453624
67,63,28,4,2008,308365.237142
67,63,28,4,2009,309451.539291
67,63,28,4,2010,310388.476614
67,63,28,4,2011,311071.898164
67,63,28,4,2012,311698.418077
67,63,28,4,2013,312296.447377
67,63,28,4,2014,312893.534381
67,63,28,4,2015,313663.066379
67,63,28,4,2016,314419.293319
67,63,28,10,2000,150341.234203
67,63,28,10,2001,151073.340061
67,63,28,10,2002,151700.246664
67,63,28,10,2003,152328.650643
67,63,28,10,2004,152884.141903
67,63,28,10,2005,153392.614624
67,63,28,10,2006,153982.963403
67,63,28,10,2007,154578.849688
67,63,28,10,2008,155066.848732
67,63,28,10,2009,155569.962122
67,63,28,10,2010,155990.659042
67,63,28,10,2011,156280.434809
67,63,28,10,2012,156543.852459
67,63,28,10,2013,156802.020251
67,63,28,10,2014,157075.640943
67,63,28,10,2015,157457.281312
67,63,28,10,2016,157855.729537
67,63,28,71,2000,155718.76949
67,63,28,71,2001,157163.519385
67,63,28,71,2002,158499.922672
67,63,28,71,2003,159838.875794
67,63,28,71,2004,161105.157682
67,63,28,71,2005,162327.200562
67,63,28,71,2006,163639.250335
67,63,28,71,2007,164962.788733
67,63,28,71,2008,166179.199126
67,63,28,71,2009,167410.992108
67,63,28,71,2010,168549.785577
67,63,28,71,2011,169533.83744
67,63,28,71,2012,170455.423242
67,63,28,71,2013,171317.857684
67,63,28,71,2014,172123.210471
67,63,28,71,2015,172949.954971
67,63,28,71,2016,173693.02394
67,63,29,4,2000,27471.8061041
67,63,29,4,2001,27591.4720735
67,63,29,4,2002,27691.932543
67,63,29,4,2003,27792.8640091
67,63,29,4,2004,27880.9687689
67,63,29,4,2005,27961.3741756
67,63,29,4,2006,28058.0541605
67,63,29,4,2007,28157.4001603
67,63,29,4,2008,28238.8993479
67,63,29,4,2009,28325.0661753
67,63,29,4,2010,28397.8245401
67,63,29,4,2011,28447.7639361
67,63,29,4,2012,28493.1832082
67,63,29,4,2013,28536.9411012
67,63,29,4,2014,28581.828194
67,63,29,4,2015,28644.0275852
67,63,29,4,2016,28706.6193471
67,63,29,10,2000,0.0
67,63,29,10,2001,0.0
67,63,29,10,2002,0.0
67,63,29,10,2003,0.0
67,63,29,10,2004,0.0
67,63,29,10,2005,0.0
67,63,29,10,2006,0.0
67,63,29,10,2007,0.0
67,63,29,10,2008,0.0
67,63,29,10,2009,0.0
67,63,29,10,2010,0.0
67,63,29,10,2011,0.0
67,63,29,10,2012,0.0
67,63,29,10,2013,0.0
67,63,29,10,2014,0.0
67,63,29,10,2015,0.0
67,63,29,10,2016,0.0
67,63,29,71,2000,317307.292559
67,63,29,71,2001,320089.701106
67,63,29,71,2002,322651.211961
67,63,29,71,2003,325217.879128
67,63,29,71,2004,327636.27626
67,63,29,71,2005,329964.278472
67,63,29,71,2006,332475.50536
67,63,29,71,2007,335009.889436
67,63,29,71,2008,337325.791781
67,63,29,71,2009,339673.474697
67,63,29,71,2010,341832.929331
67,63,29,71,2011,343679.852603
67,63,29,71,2012,345404.687444
67,63,29,71,2013,347017.276605
67,63,29,71,2014,348525.52922
67,63,29,71,2015,350093.305198
67,63,29,71,2016,351509.775306
67,63,30,4,2000,3439.7934638
67,63,30,4,2001,3456.71147088
67,63,30,4,2002,3471.22601002
67,63,30,4,2003,3485.79913137
67,63,30,4,2004,3498.76603528
67,63,30,4,2005,3510.76686544
67,63,30,4,2006,3524.79890027
67,63,30,4,2007,3539.15420234
67,63,30,4,2008,3551.25781764
67,63,30,4,2009,3563.91530101
67,63,30,4,2010,3574.84780485
67,63,30,4,2011,3582.85545916
67,63,30,4,2012,3590.20060203
67,63,30,4,2013,3597.20916353
67,63,30,4,2014,3604.19695498
67,63,30,4,2015,3613.15843404
67,63,30,4,2016,3621.95375267
67,63,30,10,2000,0.0
67,63,30,10,2001,0.0
67,63,30,10,2002,0.0
67,63,30,10,2003,0.0
67,63,30,10,2004,0.0
67,63,30,10,2005,0.0
67,63,30,10,2006,0.0
67,63,30,10,2007,0.0
67,63,30,10,2008,0.0
67,63,30,10,2009,0.0
67,63,30,10,2010,0.0
67,63,30,10,2011,0.0
67,63,30,10,2012,0.0
67,63,30,10,2013,0.0
67,63,30,10,2014,0.0
67,63,30,10,2015,0.0
67,63,30,10,2016,0.0
67,63,30,71,2000,0.0
67,63,30,71,2001,0.0
67,63,30,71,2002,0.0
67,63,30,71,2003,0.0
67,63,30,71,2004,0.0
67,63,30,71,2005,0.0
67,63,30,71,2006,0.0
67,63,30,71,2007,0.0
67,63,30,71,2008,0.0
67,63,30,71,2009,0.0
67,63,30,71,2010,0.0
67,63,30,71,2011,0.0
67,63,30,71,2012,0.0
67,63,30,71,2013,0.0
67,63,30,71,2014,0.0
67,63,30,71,2015,0.0
67,63,30,71,2016,0.0
67,64,28,4,2000,0.0
67,64,28,4,2001,0.0
67,64,28,4,2002,0.0
67,64,28,4,2003,0.0
67,64,28,4,2004,0.0
67,64,28,4,2005,0.0
67,64,28,4,2006,0.0
67,64,28,4,2007,0.0
67,64,28,4,2008,0.0
67,64,28,4,2009,0.0
67,64,28,4,2010,0.0
67,64,28,4,2011,0.0
67,64,28,4,2012,0.0
67,64,28,4,2013,0.0
67,64,28,4,2014,0.0
67,64,28,4,2015,0.0
67,64,28,4,2016,0.0
67,64,28,10,2000,0.0
67,64,28,10,2001,0.0
67,64,28,10,2002,0.0
67,64,28,10,2003,0.0
67,64,28,10,2004,0.0
67,64,28,10,2005,0.0
67,64,28,10,2006,0.0
67,64,28,10,2007,0.0
67,64,28,10,2008,0.0
67,64,28,10,2009,0.0
67,64,28,10,2010,0.0
67,64,28,10,2011,0.0
67,64,28,10,2012,0.0
67,64,28,10,2013,0.0
