subsector_id,gau,oth_1,oth_2,demand_technology,year,value,id
34,mountain,mobile home,,Reference Natural Gas Boiler/Radiator,2009,0.0,346
34,new england,mobile home,,Reference Kerosene Furnace,2009,24904.0,348
34,middle atlantic,mobile home,,Reference Kerosene Furnace,2009,159559.0,349
34,east north central,mobile home,,Reference Kerosene Furnace,2009,0.0,350
34,west north central,mobile home,,Reference Kerosene Furnace,2009,0.0,351
34,south atlantic,mobile home,,Reference Kerosene Furnace,2009,32712.0,352
34,east south central,mobile home,,Reference Kerosene Furnace,2009,0.0,353
34,west south central,mobile home,,Reference Kerosene Furnace,2009,0.0,354
34,mountain,mobile home,,Reference Kerosene Furnace,2009,0.0,355
34,pacific,mobile home,,Reference Kerosene Furnace,2009,15042.0,356
34,new england,mobile home,,Reference LPG Furnace,2009,4266.0,357
34,middle atlantic,mobile home,,Reference LPG Furnace,2009,120438.0,358
34,east north central,mobile home,,Reference LPG Furnace,2009,112202.0,359
34,west north central,mobile home,,Reference LPG Furnace,2009,143019.0,360
34,south atlantic,mobile home,,Reference LPG Furnace,2009,163043.0,361
34,east south central,mobile home,,Reference LPG Furnace,2009,117901.0,362
34,west south central,mobile home,,Reference LPG Furnace,2009,48138.0,363
34,mountain,mobile home,,Reference LPG Furnace,2009,81131.0,364
34,pacific,mobile home,,Reference LPG Furnace,2009,40246.0,365
34,new england,mobile home,,Reference Distillate Furnace,2009,29687.0,366
34,middle atlantic,mobile home,,Reference Distillate Furnace,2009,16064.0,367
34,east north central,mobile home,,Reference Distillate Furnace,2009,0.0,368
34,west north central,mobile home,,Reference Distillate Furnace,2009,0.0,369
34,south atlantic,mobile home,,Reference Distillate Furnace,2009,0.0,370
34,east south central,mobile home,,Reference Distillate Furnace,2009,0.0,371
34,west south central,mobile home,,Reference Distillate Furnace,2009,0.0,372
34,mountain,mobile home,,Reference Distillate Furnace,2009,0.0,373
34,pacific,mobile home,,Reference Distillate Furnace,2009,0.0,374
34,new england,mobile home,,Reference Distillate Boiler/Radiator,2009,6166.0,375
34,middle atlantic,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,376
34,east north central,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,377
34,west north central,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,378
34,south atlantic,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,379
34,east south central,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,380
34,west south central,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,381
34,mountain,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,382
34,pacific,mobile home,,Reference Distillate Boiler/Radiator,2009,0.0,383
34,new england,mobile home,,Cordwood Stoves,2009,0.0,384
34,middle atlantic,mobile home,,Cordwood Stoves,2009,22106.0,385
34,east north central,mobile home,,Cordwood Stoves,2009,57328.0,386
34,west north central,mobile home,,Cordwood Stoves,2009,14142.0,387
34,south atlantic,mobile home,,Cordwood Stoves,2009,49289.0,388
34,east south central,mobile home,,Cordwood Stoves,2009,20088.0,389
34,west south central,mobile home,,Cordwood Stoves,2009,51285.0,390
34,mountain,mobile home,,Cordwood Stoves,2009,7421.0,391
34,pacific,mobile home,,Cordwood Stoves,2009,65171.0,392
34,new england,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,393
34,middle atlantic,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,394
34,east north central,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,395
34,west north central,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,396
34,south atlantic,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,397
34,east south central,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,398
34,west south central,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,399
34,mountain,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,400
34,pacific,mobile home,,Reference Geothermal Heat Pump - Heating,2009,0.0,401
33,new england,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,402
34,middle atlantic,mobile home,,Reference Electric Unit Heaters,2009,42502.6,313
34,east north central,mobile home,,Reference Electric Unit Heaters,2009,44935.7,314
34,south atlantic,mobile home,,Reference Electric Unit Heaters,2009,402941.0,316
34,east south central,mobile home,,Reference Electric Unit Heaters,2009,136479.0,317
34,west south central,mobile home,,Reference Electric Unit Heaters,2009,190196.0,318
34,mountain,mobile home,,Reference Electric Unit Heaters,2009,49947.5,319
34,pacific,mobile home,,Reference Electric Unit Heaters,2009,96845.3,320
33,new england,single-family,,Reference LPG Water Heater,2009,139395.0,403
33,new england,multi-family,,Reference Electric Resistance Water Heater,2009,485270.0,404
33,new england,mobile home,,Reference Distillate Water Heater,2009,0.0,405
33,new england,single-family,,Reference Gas Water Heater,2009,1020000.0,406
33,middle atlantic,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,407
33,middle atlantic,single-family,,Reference LPG Water Heater,2009,380341.0,408
33,middle atlantic,multi-family,,Reference Electric Resistance Water Heater,2009,1200000.0,409
33,middle atlantic,mobile home,,Reference Distillate Water Heater,2009,7659.0,410
33,middle atlantic,single-family,,Reference Gas Water Heater,2009,5440000.0,411
33,east north central,multi-family,,Solar Water Heater with Electric Backup,2009,42609.0,412
33,east north central,single-family,,Reference LPG Water Heater,2009,556587.0,413
33,east north central,multi-family,,Reference Electric Resistance Water Heater,2009,1270000.0,414
33,east north central,mobile home,,Reference Distillate Water Heater,2009,0.0,415
33,east north central,single-family,,Reference Gas Water Heater,2009,9170000.0,416
33,west north central,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,417
33,west north central,single-family,,Reference LPG Water Heater,2009,488005.0,418
33,west north central,multi-family,,Reference Electric Resistance Water Heater,2009,605618.0,419
33,west north central,mobile home,,Reference Distillate Water Heater,2009,0.0,420
33,west north central,single-family,,Reference Gas Water Heater,2009,3750000.0,421
33,south atlantic,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,422
33,south atlantic,single-family,,Reference LPG Water Heater,2009,400789.0,423
33,south atlantic,multi-family,,Reference Electric Resistance Water Heater,2009,3580000.0,424
33,south atlantic,mobile home,,Reference Distillate Water Heater,2009,0.0,425
33,south atlantic,single-family,,Reference Gas Water Heater,2009,4430000.0,426
33,east south central,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,427
33,east south central,single-family,,Reference LPG Water Heater,2009,177542.0,428
33,east south central,multi-family,,Reference Electric Resistance Water Heater,2009,749832.0,429
33,east south central,mobile home,,Reference Distillate Water Heater,2009,0.0,430
33,east south central,single-family,,Reference Gas Water Heater,2009,1770000.0,431
33,west south central,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,432
33,west south central,single-family,,Reference LPG Water Heater,2009,382770.0,433
33,west south central,multi-family,,Reference Electric Resistance Water Heater,2009,2040000.0,434
33,west south central,mobile home,,Reference Distillate Water Heater,2009,0.0,435
33,west south central,single-family,,Reference Gas Water Heater,2009,5190000.0,436
33,mountain,multi-family,,Solar Water Heater with Electric Backup,2009,0.0,437
33,mountain,single-family,,Reference LPG Water Heater,2009,369899.0,438
33,mountain,multi-family,,Reference Electric Resistance Water Heater,2009,523871.0,439
33,mountain,mobile home,,Reference Distillate Water Heater,2009,0.0,440
33,mountain,single-family,,Reference Gas Water Heater,2009,3900000.0,441
33,pacific,multi-family,,Solar Water Heater with Electric Backup,2009,11636.0,442
33,pacific,single-family,,Reference LPG Water Heater,2009,337683.0,443
33,pacific,multi-family,,Reference Electric Resistance Water Heater,2009,1580000.0,444
33,pacific,mobile home,,Reference Distillate Water Heater,2009,0.0,445
33,pacific,single-family,,Reference Gas Water Heater,2009,8140000.0,446
33,new england,mobile home,,Reference Gas Water Heater,2009,14153.0,447
33,new england,single-family,,Solar Water Heater with Electric Backup,2009,5863.0,448
33,new england,multi-family,,Reference Distillate Water Heater,2009,233459.0,449
33,new england,mobile home,,Reference LPG Water Heater,2009,7475.0,450
33,new england,single-family,,Reference Electric Resistance Water Heater,2009,858403.0,451
33,middle atlantic,mobile home,,Reference Gas Water Heater,2009,65568.0,452
33,middle atlantic,single-family,,Solar Water Heater with Electric Backup,2009,0.0,453
33,middle atlantic,multi-family,,Reference Distillate Water Heater,2009,679214.0,454
33,middle atlantic,mobile home,,Reference LPG Water Heater,2009,57803.0,455
33,middle atlantic,single-family,,Reference Electric Resistance Water Heater,2009,2160000.0,456
33,east north central,mobile home,,Reference Gas Water Heater,2009,222822.0,457
33,east north central,single-family,,Solar Water Heater with Electric Backup,2009,0.0,458
33,east north central,multi-family,,Reference Distillate Water Heater,2009,0.0,459
33,east north central,mobile home,,Reference LPG Water Heater,2009,44858.0,460
33,east north central,single-family,,Reference Electric Resistance Water Heater,2009,3270000.0,461
33,west north central,mobile home,,Reference Gas Water Heater,2009,178956.0,462
33,west north central,single-family,,Solar Water Heater with Electric Backup,2009,0.0,463
33,west north central,multi-family,,Reference Distillate Water Heater,2009,0.0,464
33,west north central,mobile home,,Reference LPG Water Heater,2009,50504.0,465
33,west north central,single-family,,Reference Electric Resistance Water Heater,2009,1900000.0,466
33,south atlantic,mobile home,,Reference Gas Water Heater,2009,37074.0,467
33,south atlantic,single-family,,Solar Water Heater with Electric Backup,2009,27998.0,468
33,south atlantic,multi-family,,Reference Distillate Water Heater,2009,0.0,469
33,south atlantic,mobile home,,Reference LPG Water Heater,2009,20056.0,470
33,south atlantic,single-family,,Reference Electric Resistance Water Heater,2009,10200000.0,471
33,east south central,mobile home,,Reference Gas Water Heater,2009,34045.0,472
33,east south central,single-family,,Solar Water Heater with Electric Backup,2009,0.0,473
33,east south central,multi-family,,Reference Distillate Water Heater,2009,0.0,474
33,east south central,mobile home,,Reference LPG Water Heater,2009,0.0,475
33,east south central,single-family,,Reference Electric Resistance Water Heater,2009,3530000.0,476
33,west south central,mobile home,,Reference Gas Water Heater,2009,107058.0,477
33,west south central,single-family,,Solar Water Heater with Electric Backup,2009,0.0,478
33,west south central,multi-family,,Reference Distillate Water Heater,2009,0.0,479
33,west south central,mobile home,,Reference LPG Water Heater,2009,32829.0,480
33,west south central,single-family,,Reference Electric Resistance Water Heater,2009,3470000.0,481
33,mountain,mobile home,,Reference Gas Water Heater,2009,252519.0,482
33,mountain,single-family,,Solar Water Heater with Electric Backup,2009,32975.0,483
33,mountain,multi-family,,Reference Distillate Water Heater,2009,0.0,484
33,mountain,mobile home,,Reference LPG Water Heater,2009,104512.0,485
33,mountain,single-family,,Reference Electric Resistance Water Heater,2009,1700000.0,486
33,pacific,mobile home,,Reference Gas Water Heater,2009,215603.0,487
