demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,final_energy,utility_factor,is_numerator_service,numerator_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,geography_map_key
Electric - Gasoline Hybrid Light-Duty Truck,absolute,,us,light duty truck class,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference TDI Light-Duty Truck,absolute,,us,light duty truck class,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Hybrid Diesel Medium-Duty Vehicle,relative,25.0,us,,,diesel fuel,1.0,,,,linear_interpolation,nearest,,,,
Autonomous Electric Light-Duty Auto,relative,222.0,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Autonomous Electric Light-Duty Truck,relative,233.0,us,light duty truck class,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Electric Heavy Duty Vehicle,absolute,,us,,,electricity,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Industrial Natural Gas Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Natural Gas HVAC,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Industrial Air Source Heat Pump,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Residual Fuel Oil Oil Boiler,absolute,,us,,,residual fuel oil,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Coal Boiler,absolute,,us,,,coal,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Distillate Fuel Oil Boiler,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Pipeline Gas Boiler,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Electric Boiler,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Petroleum Coke Boiler,absolute,,us,,,petroleum coke,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial LPG Boiler,absolute,,us,,,biomass - wood,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Other Petroleum Boiler,absolute,,us,,,other petroleum,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Induction Furnace,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Industrial Process Heat  - Heat Pump,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
