demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,reference_tech_operation
Electric Light-Duty Truck - 300 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Electric Transit bus,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Diesel Transit bus,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
CNG Transit bus,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Hybrid electric Transit bus,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Reference LPG Medium-Duty Vehicle,relative,27.0,us,,,,,False,linear_interpolation,nearest,,multiply
Hybrid Gasoline Medium-Duty Vehicle,relative,26.0,us,,,,,False,linear_interpolation,nearest,,multiply
Hydrogen Fuel Cell Medium-Duty Vehicle,relative,25.0,us,,,,,False,linear_interpolation,nearest,,multiply
LNG Hybrid Heavy-Duty Vehicle,relative,214.0,us,,,,,False,linear_interpolation,nearest,,multiply
Hydrogen FCV Heavy-Duty Vehicle,relative,212.0,us,,,,,False,linear_interpolation,nearest,,multiply
Reference Gasoline Heavy-Duty Vehicle,relative,212.0,,,,,,False,linear_interpolation,nearest,,multiply
Reference Propane Heavy-Duty Vehicle,relative,212.0,,,,,,False,linear_interpolation,nearest,,multiply
Diesel - Electric Hybrid Light-Duty Auto,relative,230.0,us,,,USD,2008.0,False,linear_interpolation,nearest,,multiply
Reference TDI Light-Duty Auto,relative,221.0,us,,,USD,2008.0,False,linear_interpolation,nearest,,multiply
Propane ICE Light-Duty Truck,relative,236.0,us,,,USD,2008.0,False,linear_interpolation,nearest,,multiply
Electric - Diesel Hybrid Light-Duty Truck,relative,240.0,us,,,,,False,linear_interpolation,nearest,,multiply
Hybrid Diesel Medium-Duty Vehicle,relative,25.0,us,,,,,False,linear_interpolation,nearest,,multiply
Gasoline Transit Bus,relative,419.0,,,,,,False,linear_interpolation,nearest,,multiply
Gas Wall Heater,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,,
Ductless Mini-Split Heat Pump - Heating,absolute,,us,,,USD,2015.0,False,linear_interpolation,nearest,,
Ductless Mini-Split Heat Pump - Cooling,absolute,,us,,,USD,2015.0,False,linear_interpolation,nearest,,
Through-the-wall Heat Pump - Heating,absolute,,us,,,USD,2015.0,False,linear_interpolation,nearest,,
Through-the-wall Heat Pump - Cooling,absolute,,us,,,USD,2015.0,False,linear_interpolation,nearest,,
High Efficiency Electric Clothes Dryer (with flex cost),relative,66.0,us,,,,,,linear_interpolation,nearest,,add
Reference Top Mount Refrigerator (with flex cost),relative,48.0,us,,,,,,linear_interpolation,nearest,,add
Reference Central Air Conditioner (with flex cost),relative,42.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Top Mount Refrigerator (with flex cost),relative,49.0,us,,,,,,linear_interpolation,nearest,,add
Reference Bottom Mount Refrigerator (with flex cost),relative,50.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Bottom Mount Refrigerator (with flex cost),relative,51.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Central Air Conditioner (with flex cost),relative,43.0,us,,,,,,linear_interpolation,nearest,,add
Reference Air Source Heat Pump - Cooling (with flex cost),relative,44.0,us,,,,,,linear_interpolation,nearest,,add
Reference Geothermal Heat Pump - Cooling (with flex cost),relative,45.0,us,,,,,,linear_interpolation,nearest,,add
Hybrid CNG Medium-Duty Vehicle,relative,27.0,us,,,,,False,linear_interpolation,nearest,,multiply
Propane ICE Light-Duty Auto,relative,226.0,us,,,USD,2008.0,False,linear_interpolation,nearest,,multiply
Reference TDI Light-Duty Truck,relative,232.0,us,,,USD,2008.0,False,linear_interpolation,nearest,,multiply
Reference Commercial Walk-in Refrigerators (with flex cost),relative,180.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Walk-in Refrigerators (with flex cost),relative,181.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Walk-in Freezers (with flex cost),relative,182.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Walk-in Freezers (with flex cost),relative,183.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Reach-in Refrigerators (with flex cost),relative,184.0,us,,,,,,linear_interpolation,nearest,,add
Reference Side Mount Refrigerator (with flex cost),relative,52.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Side Mount Refrigerator (with flex cost),relative,53.0,us,,,,,,linear_interpolation,nearest,,add
Reference Reciprocating Chiller (with flex cost),relative,111.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Reciprocating Chiller (with flex cost),relative,112.0,us,,,,,,linear_interpolation,nearest,,add
Reference Centrifugal Chiller (with flex cost),relative,113.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Air Source Heat Pump - Cooling (with flex cost),relative,46.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Geothermal Heat Pump - Cooling (with flex cost),relative,47.0,us,,,,,,linear_interpolation,nearest,,add
Reference Room Air Conditioner (with flex cost),relative,73.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Room Air Conditioner (with flex cost),relative,74.0,us,,,,,,linear_interpolation,nearest,,add
Ductless Mini-Split Heat Pump - Cooling (with flex cost),relative,426.0,us,,,,,,linear_interpolation,nearest,,add
Through-the-wall Heat Pump - Cooling (with flex cost),relative,428.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Centrifugal Chiller (with flex cost),relative,114.0,us,,,,,,linear_interpolation,nearest,,add
Reference Rooftop Air Conditioner (with flex cost),relative,115.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Rooftop Air Conditioner (with flex cost),relative,116.0,us,,,,,,linear_interpolation,nearest,,add
Reference Wall/Room Air Conditioner (with flex cost),relative,117.0,us,,,,,,linear_interpolation,nearest,,add
Reference Clothes Washer - Front Loading (with flex cost),relative,61.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Clothes Washer - Front Loading (with flex cost),relative,62.0,us,,,,,,linear_interpolation,nearest,,add
Reference Electric Resistance Water Heater (with flex cost),relative,35.0,us,,,,,,linear_interpolation,nearest,,add
Reference Electric Heat Pump Water Heater (with flex cost),relative,36.0,us,,,,,,linear_interpolation,nearest,,add
"Range, Fue oil, 4 burner, oven, 11"" griddle",relative,130.0,,,,,,,linear_interpolation,nearest,,multiply
"Range, Fuel Oil, 4 powered burners, convect. oven, 11"" griddle",relative,131.0,,,,,,,linear_interpolation,nearest,,multiply
Reference Flex Fuel Light-Duty Auto,relative,221.0,,,,,,,linear_interpolation,nearest,,multiply
Reference Flex-Fuel Light-Duty Truck,relative,232.0,,,,,,,linear_interpolation,nearest,,multiply
High Efficiency Electric Heat Pump Water Heater (with flex cost),relative,37.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Electric Resistance Water Heater (with flex cost),relative,39.0,us,,,,,,linear_interpolation,nearest,,add
Reference Air Source Heat Pump - Heating (with flex cost),relative,4.0,us,,,,,,linear_interpolation,nearest,,add
Reference Electric Unit Heaters (with flex cost),relative,7.0,us,,,,,,linear_interpolation,nearest,,add
Reference Geothermal Heat Pump - Heating (with flex cost),relative,10.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Air Source Heat Pump - Heating (with flex cost),relative,14.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Geothermal Heat Pump - Heating (with flex cost),relative,21.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Reach-in Refrigerators (with flex cost),relative,185.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Reach-in Freezers (with flex cost),relative,186.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Reach-in Freezers (with flex cost),relative,187.0,us,,,,,,linear_interpolation,nearest,,add
Commercial Electric Boiler (with flex cost),relative,104.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Air Source Heat Pump - Cooling (with flex cost),relative,91.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Air Source Heat Pump - Cooling (with flex cost),relative,99.0,us,,,,,,linear_interpolation,nearest,,add
Reference Commercial Ground Source Heat Pump -Cooling (with flex cost),relative,105.0,us,,,,,,linear_interpolation,nearest,,add
High Efficiency Commercial Ground Source Heat Pump - Cooling (with flex cost),relative,106.0,us,,,,,,linear_interpolation,nearest,,add
Reference Scroll Chiller (with flex cost),relative,107.0,us,,,,,,linear_interpolation,nearest,,add
